National Database Number,Common Name,Genus,Species,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Actual/Estimate,Longitude,Longitude Actual/Estimate,Restrand,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Other Human Interaction,Other Human Int Description,Gear Collection Flag,Other Findings upon Level Y/N,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Status,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated Flag,Disentangled Flag,Euthanized at Site Flag,Died at Site Flag,Sick Flag,Injured Flag,Out of Habitat Flag,Deemed Healthy/Releasable Flag,Abandoned/Orphaned Flag,Inaccesible Flag,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD Flag,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Carcass Left at Site Flag,Carcass Buried Flag,Carcass Rendered Flag,Carcass Towed Flag,Carcass Sunk Flag,Carcass Frozen for Later Exam,Carcass Landfill Flag,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy
SE-2018-1202310,"Dolphin, bottlenose",Tursiops,truncatus,SE,Theodore,Mobile,AL,Gulf of Mexico,"10575 salt aire road, a couple hundred feet north on the beach behind this residence",30.47179,actual,-88.09713,actual,,CBD,C,C,C,N,,N,CBD,4/26/2018,2018,APR,26,Beach or Land,Moderate Decomposition,4/26/2018,2018,APR,26,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,SUBADULT,198,cm,estimate,,,,Y,Y,,,,,,,N,,,
SE-2019-1208119,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,Near tip of West End beach,30.228084,estimate,-88.326183,estimate,,CBD,C,N,C,,,N,CBD,1/6/2019,2019,JAN,6,Beach or Land,Moderate Decomposition,1/7/2019,2019,JAN,7,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,SUBADULT,198,cm,actual,78,kg,actual,Y,,,Y,,,,,Y,complete,fresh,1/7/2019
SE-2018-1202303,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,beach norwest of st stephens street 300 ft from end of road,30.25298,actual,-88.1538,actual,,CBD,C,C,C,N,,N,CBD,4/8/2018,2018,APR,8,Beach or Land,Moderate Decomposition,4/9/2018,2018,APR,9,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,PUP/CALF,111.8,cm,actual,17.2,kg,actual,Y,,,Y,,,,,Y,complete,fresh,4/10/2018
SE-2017-1199913,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,~300 m west of the DI bridge on the north shore of Little Dauphin Island,30.27981,actual,-88.12003,actual,N,CBD,C,N,C,N,,N,Y,12/3/2017,2017,DEC,3,Beach or Land,Moderate Decomposition,12/4/2017,2017,DEC,4,Moderate Decomposition,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,FEMALE,ADULT,236,cm,actual,,,notMeasured,Y,Y,N,N,N,N,N,N,Y,limited,fresh,12/4/2017
SE-2017-1196956,"Dolphin, bottlenose",Tursiops,truncatus,SE,Coden,Mobile,AL,Gulf of Mexico,On beach next to pier behind 14505 Dauphin Island Pkwy,30.38837,estimate,-88.10721,estimate,N,Y,N,N,Y,N,,Y,Y,7/12/2017,2017,JUL,12,Beach or Land,Moderate Decomposition,7/12/2017,2017,JUL,12,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FEMALE,YEARLING,145,cm,estimate,,,,Y,Y,N,N,N,N,N,N,Y,limited,fresh,7/12/2017
SE-2018-1202790,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,"dead nenoate on the north east side of billy goats hole boat ramp area, dolphin was washed up on the sand dunes. GPS collected by compliant who may have been on a boat",30.25342,actual,-88.07863,actual,,CBD,C,C,C,N,,N,CBD,4/30/2018,2018,APR,30,Beach or Land,Moderate Decomposition,5/1/2018,2018,MAY,1,Moderate Decomposition,,,,,,,,,,,,,,,,FEMALE,PUP/CALF,104,cm,actual,10,kg,actual,Y,,,Y,,,,,Y,limited,fresh,5/1/2018
SE-2019-1220484,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,"Pelican Island, Dauphin Island",30.235523,estimate,-88.119689,estimate,,CBD,C,C,C,,,N,CBD,12/10/2019,2019,DEC,10,Beach or Land,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,FEMALE,PUP/CALF,90,cm,estimate,12,kg,estimate,Y,,,,,,,,N,,,
SE-2017-1194566,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,"Head found near wooden arch on east end DISL beach. Tail/peduncle found at tip of southern peninsula south of golf course (30.24096 N, -88.11679 W)",30.245972,actual,-88.076678,actual,N,CBD,N,N,N,N,,N,Y,3/24/2017,2017,MAR,24,Beach or Land,Moderate Decomposition,3/24/2017,2017,MAR,24,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,UNKNOWN,PUP/CALF,100,cm,estimate,,,,Y,Y,N,Y,N,N,N,N,N,,,
SE-2017-1194217,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,"On north (mobile Bay) side of the island, near the signs for the nature preserve.",30.261633,actual,-88.091817,actual,N,CBD,N,N,N,N,,N,CBD,2/14/2017,2017,FEB,14,Beach or Land,Moderate Decomposition,2/15/2017,2017,FEB,15,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,UNKNOWN,PUP/CALF,95,cm,estimate,6.8,kg,estimate,Y,Y,N,N,N,N,N,N,Y,limited,fresh,2/15/2017
SE-2017-1194561,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,Aprox. 3/4 mile southwest of public pier on northeast bank of Sand Island,30.239496,estimate,-88.121216,estimate,N,CBD,N,N,N,N,,N,CBD,3/5/2017,2017,MAR,5,Beach or Land,Moderate Decomposition,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,UNKNOWN,PUP/CALF,100,cm,estimate,15,kg,estimate,Y,N,N,N,N,N,N,N,N,,,
