National Database Number,Common Name,Genus,Species,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Actual/Estimate,Longitude,Longitude Actual/Estimate,Restrand,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Other Human Interaction,Other Human Int Description,Gear Collection Flag,Other Findings upon Level Y/N,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Status,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated Flag,Disentangled Flag,Euthanized at Site Flag,Died at Site Flag,Sick Flag,Injured Flag,Out of Habitat Flag,Deemed Healthy/Releasable Flag,Abandoned/Orphaned Flag,Inaccesible Flag,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD Flag,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Carcass Left at Site Flag,Carcass Buried Flag,Carcass Rendered Flag,Carcass Towed Flag,Carcass Sunk Flag,Carcass Frozen for Later Exam,Carcass Landfill Flag,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy
SE-2019-1214694,"Dolphin, bottlenose",Tursiops,truncatus,SE,Fleming Island,Clay,FL,Atlantic Ocean,"St. Johns River, approximately 90 m E of 3163 US-17",30.143005,estimate,-81.698843,estimate,,CBD,,,,,,,,8/12/2019,2019,AUG,12,Floating,Moderate Decomposition,8/13/2019,2019,AUG,13,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,ADULT,276,cm,actual,,,notMeasured,Y,,,,,,,,Y,complete,fresh,8/13/2019
SE-2018-1201384,"Dolphin, bottlenose",Tursiops,truncatus,SE,Gulf Breeze,Santa Rosa,FL,Gulf of Mexico,across the street from 1103 Seabreeze Lane on the shoreline of the empty lot.,30.376499,estimate,-87.077088,estimate,,CBD,,,,,,,Y,3/13/2018,2018,MAR,13,Beach or Land,Fresh Dead,3/13/2018,2018,MAR,13,Fresh Dead,,,,,,,,,,,,,,,,MALE,PUP/CALF,110,cm,actual,37.2,lb,actual,Y,,,,,,Y,Y,Y,complete,frozen,3/16/2018
SE-2017-1194183,"Dolphin, bottlenose",Tursiops,truncatus,SE,Gulf Breeze,Santa Rosa,FL,Gulf of Mexico,"Beached on shoreline at residence, on Santa Rosa Sound. Residence: 2701 Del Mar Drive.",30.368611,actual,-87.111944,actual,N,CBD,N,N,N,N,,N,CBD,2/20/2017,2017,FEB,20,Beach or Land,Advanced Decomposition,2/20/2017,2017,FEB,20,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,UNKNOWN,192,cm,actual,136,kg,estimate,Y,N,N,N,N,N,N,Y,Y,limited,fresh,2/20/2017
SE-2017-1194182,"Dolphin, bottlenose",Tursiops,truncatus,SE,Navarre Beach,Santa Rosa,FL,Gulf of Mexico,East of Navarre Pier By Marker 55; Beached on shoreline of Gulf Of Mexico,30.380476,estimate,-86.853311,estimate,N,CBD,N,N,N,N,,N,CBD,2/16/2017,2017,FEB,16,Beach or Land,Advanced Decomposition,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,UNKNOWN,,122,cm,estimate,,,,Y,N,N,N,N,N,N,N,N,,,
SE-2019-1220570,"Dolphin, bottlenose",Tursiops,truncatus,SE,Key West,Eez,FL,Gulf of Mexico,"GPS location from boat captain, unknow if actual or estimate so recorded as estimate.",24.461467,estimate,-81.863317,estimate,,Y,C,C,Y,N,,N,CBD,11/30/2019,2019,NOV,30,Swimming,Alive,,,,,,,Y,,Y,,,,,,,,,,,Y,UNKNOWN,,138,cm,estimate,,,,Y,,,,,,,,N,,,
SE-2017-1196806,"Dolphin, bottlenose",Tursiops,truncatus,SE,Cocoa Beach,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Banana River, E shore, S of the 520 S Cswy, ~1.3 km W of Sunset Grill (500 W Cocoa Beach Cswy), in the channel that runs E-W",28.356256,actual,-80.629727,actual,N,Y,N,N,N,Y,brazing rod in forestomach/rostral injury,Y,Y,7/14/2017,2017,JUL,14,,Alive,7/21/2017,2017,JUL,21,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,ADULT,265,cm,actual,,,,Y,N,N,N,N,N,N,Y,Y,limited,fresh,7/21/2017
SE-2017-1195527,"Dolphin, bottlenose",Tursiops,truncatus,SE,Cocoa Beach,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Banana River, E shore, N side of Minuteman Cswy",28.32059,,-80.629242,,N,Y,N,N,Y,Y,,Y,N,3/24/2017,2017,MAR,24,,Alive,5/10/2017,2017,MAY,10,Alive,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,MALE,PUP/CALF,177,cm,actual,,,,Y,N,N,N,N,N,N,N,NA,,,
SE-2018-1203367,"Dolphin, bottlenose",Tursiops,truncatus,SE,Satellite Beach,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Banana River, south of the Pineda causeway, at the entrance to the grand canal (east shoreline).",28.211264,actual,-80.619069,actual,,Y,N,N,Y,,,Y,CBD,6/29/2018,2018,JUN,29,Swimming,Alive,7/7/2018,2018,JUL,7,Moderate Decomposition,Y,,,,,,Y,Y,,,,,,,,MALE,UNKNOWN,196,cm,actual,,,,Y,Y,,,,,,,Y,limited,fresh,7/7/2018
SE-2017-1196870,"Dolphin, bottlenose",Tursiops,truncatus,SE,Merritt Island National Wildlife Refuge,Brevard,FL,Atlantic Ocean,"Merritt Island National Wildlife Refuge/Kennedy Space Center, just south of the mouth of Banana Creek in the Indian River",28.585033,actual,-80.721633,actual,N,CBD,N,N,N,N,,,,7/25/2017,2017,JUL,25,Beach or Land,Alive,7/25/2017,2017,JUL,25,Alive,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,,265,cm,estimate,,,,Y,N,N,N,N,N,N,N,N,,,
SE-2019-1208049,"Dolphin, bottlenose",Tursiops,truncatus,SE,Grant,Brevard,FL,Atlantic Ocean,"IRL, Indian River, west shore north of Christenson's landing near The Old Fish House (5815 US-1)",27.9353722,estimate,-80.5257404,estimate,,Y,Y,,,,,,Y,2/1/2019,2019,FEB,1,Swimming,Alive,2/1/2019,2019,FEB,1,Fresh Dead,,,,,,Y,Y,Y,,,,,,,,FEMALE,ADULT,240,cm,actual,,,,Y,,,,,,,Y,Y,complete,fresh,2/1/2019
SE-2017-1195973,"Dolphin, bottlenose",Tursiops,truncatus,SE,Satellite Beach,Brevard,FL,Atlantic Ocean,"ocean side, at Sunrise Ave. (Michael Crotty Park)",28.160958,actual,-80.5852,actual,N,N,N,N,N,N,,,Y,6/9/2017,2017,JUN,9,Beach or Land,Alive,6/9/2017,2017,JUN,9,Fresh Dead,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,FEMALE,ADULT,247,cm,actual,,,,Y,N,N,N,N,N,N,Y,Y,complete,fresh,6/9/2017
SE-2017-1193756,"Dolphin, bottlenose",Tursiops,truncatus,SE,Cocoa Beach,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, east shore of Banana River, canal 207 June Dr",28.334949,estimate,-80.61475,estimate,N,Y,N,N,Y,N,,Y,CBD,1/10/2017,2017,JAN,10,Swimming,Alive,,,,,Alive,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,FEMALE,PUP/CALF,200,cm,actual,,,,Y,N,N,N,N,N,N,N,NA,,,
SE-2019-1227650,"Dolphin, bottlenose",Tursiops,truncatus,SE,Cocoa Beach,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Banana River, E shore, just N of Houseboat cut",28.334182,actual,-80.628972,actual,,Y,,,Y,,,N,CBD,7/11/2019,2019,JUL,11,Swimming,Alive,,,,,,Y,,,,,,,Y,,,,,,,,UNKNOWN,SUBADULT,220,cm,estimate,,,,Y,,,,,,,,N,,,
SE-2017-1198744,"Dolphin, bottlenose",Tursiops,truncatus,SE,Merritt Island,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Banana River at the southernmost tip of Merritt Island, at Dragon point",28.142269,estimate,-80.603746,estimate,,Y,C,C,C,Y,entrapped within construction boom,,CBD,11/22/2017,2017,NOV,22,Swimming,Alive,,,,,,,Y,,,,,,,,,,,,,,UNKNOWN,UNKNOWN,230,cm,estimate,,,,Y,,,,,,,,N,,,
SE-2018-1204448,"Dolphin, bottlenose",Tursiops,truncatus,SE,Titusville,Brevard,FL,Atlantic Ocean,"Atlantic Ocean, Indian River Lagoon, Indian River, W shore, along the SE side of the relief bridge on the SW side of the Max Brewer Cswy",28.617762,actual,-80.802374,actual,,Y,Y,N,N,,,N,CBD,8/11/2018,2018,AUG,11,Beach or Land,Fresh Dead,8/11/2018,2018,AUG,11,Fresh Dead,,,,,,,,,,,,,,,,MALE,ADULT,242,cm,actual,,,,Y,,,Y,,,Y,,Y,complete,frozen,8/30/2018
SE-2018-1205395,"Dolphin, bottlenose",Tursiops,truncatus,SE,Merritt Island,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Banana River, Sykes Creek at the kayak launch at Watts Park, 695 Needle Blvd.",28.368717,estimate,-80.684953,estimate,,N,,,,,,,,10/7/2018,2018,OCT,7,Beach or Land,Fresh Dead,10/7/2018,2018,OCT,7,Fresh Dead,,,,,,,,,,,,,,,,MALE,PUP/CALF,120,cm,actual,,,,Y,,,Y,,,,,Y,limited,fresh,10/7/2018
SE-2019-1209926,"Dolphin, bottlenose",Tursiops,truncatus,SE,Indialantic,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Indian River, E shore, N side of the Melbourne Cswy just E of the 2nd E bound bridge",28.087825,actual,-80.581492,actual,,Y,,,Y,,,Y,Y,4/6/2019,2019,APR,6,Beach or Land,Fresh Dead,4/7/2019,2019,APR,7,Fresh Dead,,,,,,,,,,,,,,,,FEMALE,ADULT,251,cm,actual,,,,Y,,,,,,,Y,Y,complete,fresh,4/7/2019
SE-2017-1196869,"Dolphin, bottlenose",Tursiops,truncatus,SE,Merritt Island,Brevard,FL,Atlantic Ocean,"FL, Brevard, Merritt Island, behind Doc¿s Bait shop, 588 West Merritt Island Causeway",28.357072,actual,-80.70879,actual,N,Y,N,N,Y,N,,Y,Y,7/26/2017,2017,JUL,26,,Fresh Dead,7/26/2017,2017,JUL,26,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FEMALE,ADULT,244,cm,actual,,,,Y,N,N,N,N,N,N,Y,Y,complete,fresh,7/26/2017
SE-2019-1219230,"Dolphin, bottlenose",Tursiops,truncatus,SE,Melbourne Beach,Brevard,FL,Atlantic Ocean,"Melbourne Beach, at the east terminus of Fourth Ave.",28.064477,actual,-80.554345,actual,,N,,,,,,,Y,11/26/2019,2019,NOV,26,Beach or Land,Fresh Dead,11/26/2019,2019,NOV,26,Moderate Decomposition,,,,,,,,,,,,,,,,FEMALE,ADULT,243,cm,actual,,,notMeasured,Y,,,,,,,Y,Y,complete,fresh,11/27/2019
SE-2017-1194692,"Dolphin, bottlenose",Tursiops,truncatus,SE,Melbourne,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, NE side of Eau Gallie Causeway between Dragon Point and Anchorage Marina",28.140448,actual,-80.602776,actual,N,Y,N,N,Y,N,,Y,CBD,3/21/2017,2017,MAR,21,,Fresh Dead,,,,,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FEMALE,PUP/CALF,122,cm,actual,,,,Y,N,N,N,N,N,N,Y,Y,complete,fresh,3/21/2017
SE-2018-1204814,"Dolphin, bottlenose",Tursiops,truncatus,SE,Merritt Island,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, east end of the Barge canal, at the opening into the Banana River",28.409318,estimate,-80.661897,estimate,,CBD,,,,,,,,9/7/2018,2018,SEP,7,Floating,Fresh Dead,,,,,,,,,,,,,,,,,,,,,UNKNOWN,PUP/CALF,92,cm,estimate,,,,Y,Y,,,,,,,N,,,
SE-2019-1215507,"Dolphin, bottlenose",Tursiops,truncatus,SE,Merritt Island National Wildlife Refuge,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Indian River, approximately 1.2km northeast of Scottsmoor landing",28.781111,estimate,-80.84,estimate,,CBD,,,,,,,,8/15/2019,2019,AUG,15,Floating,Fresh Dead,,,,,,,,,,,,,,,,,,,,,UNKNOWN,UNKNOWN,210,cm,estimate,,,,Y,Y,,,,,,,N,,,
SE-2019-1218872,"Dolphin, bottlenose",Tursiops,truncatus,SE,Merritt Island National Wildlife Refuge,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Indian River, ~5 km north of the NASA Causeway, ~1.6 km W of the E shore",28.572226,estimate,-80.732947,estimate,,CBD,,,,,,,CBD,11/12/2019,2019,NOV,12,Floating,Moderate Decomposition,11/13/2019,2019,NOV,13,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,ADULT,262,cm,actual,,,,Y,,,,,,,Y,Y,limited,fresh,11/13/2019
SE-2019-1207845,"Dolphin, bottlenose",Tursiops,truncatus,SE,Patrick AirForce Base,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Banana River, E shore, N end of Riverside trail",28.270692,actual,-80.608039,actual,,Y,,,,Y,Freezebrand,N,Y,1/30/2019,2019,JAN,30,Beach or Land,Moderate Decomposition,1/30/2019,2019,JAN,30,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,ADULT,279,cm,actual,,,,Y,,,,,,,Y,Y,limited,fresh,1/30/2019
SE-2018-1204206,"Dolphin, bottlenose",Tursiops,truncatus,SE,Merritt Island,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Banana River, at 160 S. Banana River Dr.",28.354901,estimate,-80.661521,estimate,,Y,Y,N,C,,,N,CBD,8/16/2018,2018,AUG,16,Beach or Land,Moderate Decomposition,8/16/2018,2018,AUG,16,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,ADULT,261,cm,actual,,,,Y,,,,,,,Y,Y,limited,fresh,8/16/2018
SE-2019-1211451,"Dolphin, bottlenose",Tursiops,truncatus,SE,Mlebourne,Brevard,FL,Atlantic Ocean,"Melbourne, IRL, north side of the Melbourne (192) Causeway, midway between the two shorelines, floated under the bridge and recovered on the south side near county park",28.085935,actual,-80.588252,actual,,Y,,,Y,,,N,,6/2/2019,2019,JUN,2,Floating,Moderate Decomposition,6/2/2019,2019,JUN,2,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,SUBADULT,191,cm,actual,,,,Y,,,,,,,,Y,complete,fresh,6/2/2019
SE-2018-1199860,"Dolphin, bottlenose",Tursiops,truncatus,SE,Cocoa,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Indian River, w shore, 4980 North Cocoa Blvd",28.451156,actual,-80.761056,actual,,N,,,,,,,Y,1/9/2018,2018,JAN,9,Beach or Land,Moderate Decomposition,1/9/2018,2018,JAN,9,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,SUBADULT,208,cm,actual,,,notMeasured,Y,,,,,,,Y,Y,complete,fresh,1/9/2018
SE-2019-1217991,"Dolphin, bottlenose",Tursiops,truncatus,SE,Merritt Island,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Sykes Creek, ca. 1 mile south of SR 528 relief bridge over Sykes Creek on the west shore of Ulumay Wildlife Sanctuary",28.390275,actual,-80.689988,actual,,CBD,,,,,,,,10/15/2019,2019,OCT,15,Floating,Moderate Decomposition,10/15/2019,2019,OCT,15,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,SUBADULT,183,cm,actual,,,,Y,Y,,,,,,,Y,limited,,10/15/2019
SE-2018-1205810,"Dolphin, bottlenose",Tursiops,truncatus,SE,Titusville,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, east of Shiloh¿s restaurant near the west shore on the Indian River",28.57003,actual,-80.7923,actual,,CBD,,,,,,,,10/16/2018,2018,OCT,16,Floating,Moderate Decomposition,10/16/2018,2018,OCT,16,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,PUP/CALF,125,cm,actual,,,,Y,,,,,,Y,,Y,,frozen,10/26/2018
SE-2019-1208570,"Dolphin, bottlenose",Tursiops,truncatus,SE,Merritt Island,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Banana River, 1.3 miles from the west shoreline in the channel",28.2628,actual,-80.640917,actual,,CBD,,,,,,,,2/23/2019,2019,FEB,23,Floating,Moderate Decomposition,2/25/2019,2019,FEB,25,Advanced Decomposition,,,,,,,,,,,,,,,,MALE,PUP/CALF,104,cm,actual,,,,Y,,,,,,,Y,Y,limited,fresh,2/25/2019
SE-2019-1208800,"Dolphin, bottlenose",Tursiops,truncatus,SE,Cocoa Beach,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, east shore of Banana River, on an island ~200m north west of 87 West Bay Drive",28.299415,estimate,-80.616921,estimate,,CBD,,,,,,,,3/11/2019,2019,MAR,11,Beach or Land,Moderate Decomposition,3/12/2019,2019,MAR,12,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,UNKNOWN,222,cm,actual,,,,Y,Y,,,,,,,Y,limited,fresh,3/12/2019
SE-2018-1205394,"Dolphin, bottlenose",Tursiops,truncatus,SE,Merritt Island,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, west shore of Indian River, at 3743 Indian River Drive",28.418363,estimate,-80.751184,estimate,,CBD,,,,,,,,10/6/2018,2018,OCT,6,Beach or Land,Moderate Decomposition,10/7/2018,2018,OCT,7,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,UNKNOWN,235,cm,actual,,,,Y,,,,,,,,Y,limited,fresh,10/7/2018
SE-2017-1197439,"Dolphin, bottlenose",Tursiops,truncatus,SE,Edgewater,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Mosquito Lagoon, W shore, SE of Menard-May Park, due E of E Turgot Ave, along a spoil island",28.984463,estimate,-80.894489,estimate,N,N,N,N,N,N,,,,8/26/2017,2017,AUG,26,Beach or Land,Moderate Decomposition,8/26/2017,2017,AUG,26,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,UNKNOWN,190,cm,actual,,,,Y,N,N,N,N,N,N,Y,Y,complete,fresh,8/26/2017
SE-2018-1203737,"Dolphin, bottlenose",Tursiops,truncatus,SE,Cape Canaveral,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Banana River, E shore, NW of the locks and due W of Ski Island (28.457562 -80.617006)",28.457562,actual,-80.617006,actual,,CBD,,,,,,,,7/20/2018,2018,JUL,20,Floating,Moderate Decomposition,7/20/2018,2018,JUL,20,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,,250,cm,actual,,,,Y,,,,,,,Y,Y,limited,fresh,7/20/2018
SE-2019-1214092,"Dolphin, bottlenose",Tursiops,truncatus,SE,Port Canaveral,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Banana River, 528 Cswy, ICW, between the East and West traffic lanes, along the west side of the ICW",28.4052,actual,-80.6478,actual,,Y,,,Y,Y,plastic consumption,Y,Y,7/20/2019,2019,JUL,20,Floating,Moderate Decomposition,7/21/2019,2019,JUL,21,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,,263,cm,actual,,,,Y,,,,,,,Y,Y,complete,fresh,7/21/2019
SE-2018-1203734,"Dolphin, bottlenose",Tursiops,truncatus,SE,Patrick Air Force Base,Brevard,FL,Atlantic Ocean,"Banana River, east shore, west end of PAFB campground",28.234789,actual,-80.616275,actual,,CBD,,,,,,,,6/29/2018,2018,JUN,29,Beach or Land,Moderate Decomposition,6/29/2018,2018,JUN,29,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,,270,cm,actual,,,,Y,,,,,,,Y,Y,limited,,6/29/2018
SE-2018-1203373,"Dolphin, bottlenose",Tursiops,truncatus,SE,Cocoa,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Indian River, on a spoil island on the north east side of the 528 causeway.",28.40842,estimate,-80.729345,estimate,,N,,,,,,,Y,7/5/2018,2018,JUL,5,Floating,Moderate Decomposition,7/5/2018,2018,JUL,5,Moderate Decomposition,,,,,,,,,,,,,,,,FEMALE,ADULT,250,cm,actual,,,,Y,Y,,,,,,,Y,complete,fresh,7/5/2018
SE-2018-1202836,"Dolphin, bottlenose",Tursiops,truncatus,SE,Micco,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Indian River, southwest of the railroad bridge in the Sebastian River, 9986 Sebastian River Dr.",27.838867,estimate,-80.499016,estimate,,CBD,,,,,,,Y,6/1/2018,2018,JUN,1,Floating,Moderate Decomposition,6/1/2018,2018,JUN,1,Moderate Decomposition,,,,,,,,,,,,,,,,FEMALE,ADULT,257,cm,actual,,,,Y,,,,,,,Y,Y,complete,fresh,6/2/2018
SE-2018-1203732,"Dolphin, bottlenose",Tursiops,truncatus,SE,Canaveral National Seashore,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Mosquito Lagoon, Canaveral National Seashore at the mouth of Eddy Creek",28.674687,actual,-80.656412,actual,,CBD,C,,,,,,,6/28/2018,2018,JUN,28,Floating,Moderate Decomposition,6/28/2018,2018,JUN,28,Moderate Decomposition,,,,,,,,,,,,,,,,FEMALE,ADULT,245,cm,actual,,,,Y,Y,,,,,,,Y,limited,,6/28/2018
SE-2017-1198528,"Dolphin, bottlenose",Tursiops,truncatus,SE,Merritt Island,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Banana River, western shore at Kars Park, between the boat ramp and the fishing pier",28.435805,actual,-80.659222,actual,,N,N,,,,,,Y,11/5/2017,2017,NOV,5,Beach or Land,Moderate Decomposition,11/6/2017,2017,NOV,6,Moderate Decomposition,,,,,,,,,,,,,,,,FEMALE,ADULT,253,cm,actual,,,notMeasured,Y,,,,,,,,Y,complete,,11/6/2017
SE-2018-1201646,"Dolphin, bottlenose",Tursiops,truncatus,SE,Merritt Island,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Indian River, east shore, 1225 N. Tropical Trail",28.378623,estimate,-80.715834,estimate,,Y,N,N,Y,,,Y,Y,4/4/2018,2018,APR,4,Floating,Moderate Decomposition,4/4/2018,2018,APR,4,Moderate Decomposition,,,,,,,,,,,,,,,,FEMALE,ADULT,252,cm,actual,,,,Y,,,,,,,Y,Y,limited,fresh,4/4/2018
SE-2018-1203939,"Dolphin, bottlenose",Tursiops,truncatus,SE,Titusville,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Indian River, on the south east side of the NASA causeway bridge along the rocks",28.527071,estimate,-80.759129,estimate,,CBD,,,,,,,,7/31/2018,2018,JUL,31,Beach or Land,Moderate Decomposition,7/31/2018,2018,JUL,31,Moderate Decomposition,,,,,,,,,,,,,,,,FEMALE,PUP/CALF,120,cm,actual,,,,Y,Y,,,,,,,Y,limited,fresh,7/31/2018
SE-2017-1198585,"Dolphin, bottlenose",Tursiops,truncatus,SE,New Smyrna Beach,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Mosquito Lagoon, south side of the North Causeway",29.038437,estimate,-80.906546,estimate,,N,,,,,,,Y,11/9/2017,2017,NOV,9,Floating,Moderate Decomposition,11/9/2017,2017,NOV,9,Moderate Decomposition,,,,,,,,,,,,,,,,FEMALE,UNKNOWN,208,cm,actual,,,,Y,,,,,,,Y,Y,complete,fresh,11/9/2017
SE-2018-1206826,"Dolphin, bottlenose",Tursiops,truncatus,SE,Merritt Island,Brevard,FL,Atlantic Ocean,"Merritt Island, east side of river at 421 Swann Grove Lane",28.331007,actual,-80.694518,actual,,N,,,,,,,Y,12/12/2018,2018,DEC,12,Beach or Land,Moderate Decomposition,12/12/2018,2018,DEC,12,Moderate Decomposition,,,,,,,,,,,,,,,,FEMALE,,229,cm,actual,,,notMeasured,Y,,,,,,,Y,Y,complete,fresh,12/13/2018
SE-2017-1196801,"Dolphin, bottlenose",Tursiops,truncatus,SE,Merritt Island National Wildlife Refuge,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Mosquito Lagoon, E shore, E of Widgeon Bay, ~2.2 km E of Haulover Canal",28.744762,estimate,-80.723211,estimate,N,CBD,N,N,N,N,,,CBD,7/5/2017,2017,JUL,5,Floating,Moderate Decomposition,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,UNKNOWN,ADULT,260,cm,estimate,,,,N,N,N,N,N,N,N,N,NA,,,
SE-2017-1196805,"Dolphin, bottlenose",Tursiops,truncatus,SE,Melbourne,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Indian River, W of the ICW, just S of Frogbones Family Shooting Center (404 S Harbor City Blvd",28.104778,estimate,-80.604361,estimate,N,CBD,N,N,N,N,,,,7/21/2017,2017,JUL,21,Floating,Moderate Decomposition,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,UNKNOWN,SUBADULT,200,cm,estimate,,,,N,N,N,N,N,N,N,N,NA,,,
SE-2017-1199040,"Dolphin, bottlenose",Tursiops,truncatus,SE,Titusville,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Indian River, at channel marker 9 in the Indian River, south of Haulover Canal",28.69395,actual,-80.804766,actual,,CBD,,,,,,,,12/17/2017,2017,DEC,17,Floating,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,UNKNOWN,SUBADULT,200,cm,estimate,,,,N,Y,,,,,,,N,,,
SE-2019-1216892,"Dolphin, bottlenose",Tursiops,truncatus,SE,Titusville,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, northern Indian River near railroad bridge",28.65053,estimate,-80.806872,estimate,,CBD,,,,,,,,8/27/2019,2019,AUG,27,Floating,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,UNKNOWN,SUBADULT,200,cm,estimate,,,,Y,Y,,,,,,,N,,,
SE-2018-1204953,"Dolphin, bottlenose",Tursiops,truncatus,SE,Cocoa Beach,Brevard,FL,Atlantic Ocean,"IRL, Banana River, NE side of the SR 520 causeway, just east of the Cape Canaveral Hospital (recovered the next day just north of the original location)",28.360368,actual,-80.617315,actual,,CBD,C,C,C,N,,N,CBD,9/19/2018,2018,SEP,19,Floating,Moderate Decomposition,9/20/2018,2018,SEP,20,Advanced Decomposition,,,,,,,,,,,,,,,,UNKNOWN,PUP/CALF,114,cm,actual,,,notMeasured,Y,,,,,,,,Y,limited,fresh,9/20/2018
SE-2018-1204449,"Dolphin, bottlenose",Tursiops,truncatus,SE,Merritt Island,Brevard,FL,Atlantic Ocean,"Atlantic Ocean, Indian River Lagoon, Banana River, Skyes Creek, S of Barge Canal, S of Merritt Island highschool near CM 23",28.378173,estimate,-80.688985,estimate,,CBD,,,,,,,CBD,8/31/2018,2018,AUG,31,Floating,Moderate Decomposition,9/1/2018,2018,SEP,1,Advanced Decomposition,,,,,,,,,,,,,,,,UNKNOWN,PUP/CALF,103,cm,actual,,,,Y,,,,,,,Y,Y,limited,fresh,9/1/2018
SE-2017-1196804,"Dolphin, bottlenose",Tursiops,truncatus,SE,Cocoa,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Indian River, W shore, near Lee Werner Park",28.354633,estimate,-80.722836,estimate,N,CBD,N,N,N,N,,,,7/18/2017,2017,JUL,18,Floating,Moderate Decomposition,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,UNKNOWN,PUP/CALF,121,cm,estimate,,,,Y,N,N,N,N,N,N,N,NA,,,
SE-2017-1198053,"Dolphin, bottlenose",Tursiops,truncatus,SE,Cocoa,Brevard,FL,Atlantic Ocean,"Indian River Lagoon, Indian River, N of the 528 Cswy, between the 3rd and 4th telephone poles from the E shore",28.409165,actual,-80.736544,actual,N,CBD,N,N,N,N,,,CBD,9/3/2017,2017,SEP,3,Floating,Moderate Decomposition,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,UNKNOWN,PUP/CALF,106,cm,estimate,,,,Y,N,N,N,N,N,N,N,NA,,,
